0,195751.556,1402.269,1119.968,5351.639,1495.323,3026.112,2195.154,7378.481,7114.742,2374.186,1153.187,2597.111,1032.493,2202.359,1424.942,2488.332,4851.424,1211.009,965.896,146366.929
1,247426.021,1452.005,1292.172,6131.836,1795.099,3600.023,2657.131,8314.536,8448.378,2737.508,1355.884,3091.405,1171.981,2674.599,1631.33,3011.169,6012.179,1621.799,1335.541,189091.446
2,347000.252,1484.882,1366.978,57196.854,1955.782,4030.143,3060.875,8114.829,9217.542,2748.625,1392.472,3063.871,1189.214,2770.549,1537.28,3091.424,6184.956,1464.053,1282.913,235847.01
3,262866.145,1453.181,1285.068,6380.842,1901.753,3763.563,2930.763,7068.169,9189.213,2776.186,1480.394,3200.523,1316.481,2810.274,1622.036,3105.772,6248.322,1488.431,1203.634,203641.54
4,312996.71,1408.381,1257.766,6045.661,1865.035,3867.245,2599.839,6887.988,8044.323,2755.813,1363.546,3163.614,1243.16,2707.41,1688.619,2893.664,5899.52,1529.661,1134.077,256641.388
5,255154.433,1601.012,1256.737,5861.183,1777.983,3543.935,2430.848,7408.075,8065.358,2631.042,1219.171,2839.974,1117.766,2461.33,1343.203,2824.21,5616.169,1455.542,1111.541,200589.354
6,405288.155,1605.863,1308.43,6051.421,1834.551,4225.932,2905.556,8227.925,8494.323,2616.267,1215.797,3216.929,1107.311,2496.715,1458.921,2631.198,5340.855,1579.952,1210.41,347759.799
7,288809.623,1490.174,1331.927,6236.973,2249.79,4193.323,3023.63,7866.998,7977.526,2629.315,1162.482,2948.785,1149.745,2555.964,1439.569,2742.609,5558.192,1787.664,1145.454,231319.503
8,442221.327,1430.303,1238.518,7200.133,1917.501,4019.807,3361.426,7657.131,169951.328,2772.442,1318.241,2810.926,1047.211,2633.54,1433.0,2886.785,5534.061,1558.643,1022.911,222427.42
9,283311.385,1425.789,1309.102,6049.162,1767.782,3723.023,2868.892,7517.457,9347.614,2712.226,1200.031,2875.827,1110.686,2557.681,1573.041,2768.025,5755.816,1581.763,1266.826,225900.642
