0,89482.789,1752.928,2314.181,1118.147,1023.619,82101.379,1172.535
1,123529.661,2120.628,2887.104,1300.865,1257.39,114445.771,1517.903
2,174588.24,2057.04,2827.152,1251.035,1224.226,165743.892,1484.895
3,139965.269,2236.565,3152.248,1281.698,1187.82,130654.367,1452.571
4,193947.159,2185.826,2826.228,1405.376,1224.41,184888.657,1416.662
5,140673.411,2021.687,2560.286,1130.802,1077.064,132397.936,1485.636
6,287447.198,2120.332,2656.992,1221.108,1162.344,278722.321,1564.101
7,164371.824,2254.959,2950.204,1248.828,1054.292,155303.042,1560.499
8,159643.685,2121.085,2616.99,1117.878,1320.323,150888.001,1579.408
9,165476.267,2085.568,2796.849,1190.819,1177.556,156869.494,1355.981
