0,103349.155,985.147,1105.126,1207.315,1246.936,2364.323,93415.964,3024.344
1,143295.946,1117.637,1277.753,3097.12,1476.67,2707.035,128729.698,4890.033
2,194093.757,1189.144,1303.727,2312.854,1506.577,3157.972,179894.096,4729.387
3,159956.279,1188.581,1292.655,1876.187,1476.56,3927.763,145391.937,4802.596
4,212161.231,1230.138,1320.076,1450.409,1659.92,2871.78,199508.844,4120.064
5,159002.995,1041.193,1190.908,1475.456,1295.558,3869.701,145419.236,4710.943
6,305116.698,1047.466,1106.437,1656.941,1363.114,2653.018,292469.065,4820.657
7,186987.248,1006.778,1152.057,1605.465,1309.913,4184.362,172877.001,4851.672
8,177607.888,1032.588,1151.459,1502.216,1466.74,2929.131,164486.731,5039.023
9,183787.135,1053.631,1155.364,1531.362,1388.104,2994.459,170600.468,5063.747
