test: ['func.py', 'htex_exp1w', 'fib', '20', '-d', 'benchmarks/lq'] done in 514.4680540561676 time
test: ['func.py', 'htex_exp1w', 'fib', '20', '-d', 'benchmarks/lq'] done in 519.1780109405518 time
test: ['func.py', 'htex_exp1w', 'fib', '20', '-d', 'benchmarks/lq'] done in 514.3753230571747 time
test: ['func.py', 'htex_exp1w', 'fib', '20', '-d', 'benchmarks/lq'] done in 515.4638288021088 time
test: ['func.py', 'htex_exp1w', 'fib', '20', '-d', 'benchmarks/lq'] done in 514.4458332061768 time
test: ['func.py', 'htex_exp1w', 'fib', '20', '-d', 'benchmarks/lq'] done in 519.9143102169037 time
test: ['func.py', 'htex_exp1w', 'fib', '20', '-d', 'benchmarks/lq'] done in 519.7849278450012 time
test: ['func.py', 'htex_exp1w', 'fib', '20', '-d', 'benchmarks/lq'] done in 515.4408564567566 time
test: ['func.py', 'htex_exp1w', 'fib', '20', '-d', 'benchmarks/lq'] done in 522.0403959751129 time
test: ['func.py', 'htex_exp1w', 'fib', '20', '-d', 'benchmarks/lq'] done in 515.4512801170349 time
test: ['func.py', 'htex_exp1w', 'fib', '20', '-d', 'benchmarks/lq'] done in 514.7496964931488 time
test: ['func.py', 'htex_exp1w', 'fib', '20', '-d', 'benchmarks/lq'] done in 514.7106313705444 time
test: ['func.py', 'htex_exp1w', 'fib', '20', '-d', 'benchmarks/lq'] done in 514.5457332134247 time
test: ['func.py', 'htex_exp1w', 'fib', '20', '-d', 'benchmarks/lq'] done in 515.3221604824066 time
test: ['func.py', 'htex_exp1w', 'fib', '20', '-d', 'benchmarks/lq'] done in 522.1763107776642 time
test: ['func.py', 'htex_exp1w', 'fib', '20', '-d', 'benchmarks/lq'] done in 514.0930247306824 time
test: ['func.py', 'htex_exp1w', 'fib', '20', '-d', 'benchmarks/lq'] done in 514.5248284339905 time
test: ['func.py', 'htex_exp1w', 'fib', '20', '-d', 'benchmarks/lq'] done in 520.5805299282074 time
test: ['func.py', 'htex_exp1w', 'fib', '20', '-d', 'benchmarks/lq'] done in 519.4729268550873 time
test: ['func.py', 'htex_exp1w', 'fib', '20', '-d', 'benchmarks/lq'] done in 514.6367690563202 time
test: ['func.py', 'htex_exp1w', 'fib', '20', '-d', 'benchmarks/lq'] done in 514.6700005531311 time
test: ['func.py', 'htex_exp1w', 'fib', '20', '-d', 'benchmarks/lq'] done in 514.1713743209839 time
test: ['func.py', 'htex_exp1w', 'fib', '20', '-d', 'benchmarks/lq'] done in 517.3728756904602 time
test: ['func.py', 'htex_exp1w', 'fib', '20', '-d', 'benchmarks/lq'] done in 520.458502292633 time
test: ['func.py', 'htex_exp1w', 'fib', '20', '-d', 'benchmarks/lq'] done in 513.9932811260223 time
test: ['func.py', 'htex_exp1w', 'fib', '20', '-d', 'benchmarks/lq'] done in 518.5127832889557 time
