test: ['func.py', 'htex_exp1w', 'fib', '15', '-d', 'benchmarks/lq'] done in 46.477375984191895 time
test: ['func.py', 'htex_exp1w', 'fib', '15', '-d', 'benchmarks/lq'] done in 46.55825734138489 time
test: ['func.py', 'htex_exp1w', 'fib', '15', '-d', 'benchmarks/lq'] done in 46.959004402160645 time
test: ['func.py', 'htex_exp1w', 'fib', '15', '-d', 'benchmarks/lq'] done in 46.61031985282898 time
test: ['func.py', 'htex_exp1w', 'fib', '15', '-d', 'benchmarks/lq'] done in 46.55375814437866 time
test: ['func.py', 'htex_exp1w', 'fib', '15', '-d', 'benchmarks/lq'] done in 47.13790774345398 time
test: ['func.py', 'htex_exp1w', 'fib', '15', '-d', 'benchmarks/lq'] done in 46.631293058395386 time
test: ['func.py', 'htex_exp1w', 'fib', '15', '-d', 'benchmarks/lq'] done in 47.16818928718567 time
test: ['func.py', 'htex_exp1w', 'fib', '15', '-d', 'benchmarks/lq'] done in 46.68275022506714 time
test: ['func.py', 'htex_exp1w', 'fib', '15', '-d', 'benchmarks/lq'] done in 46.72415208816528 time
test: ['func.py', 'htex_exp1w', 'fib', '15', '-d', 'benchmarks/lq'] done in 47.02906632423401 time
test: ['func.py', 'htex_exp1w', 'fib', '15', '-d', 'benchmarks/lq'] done in 46.78994679450989 time
test: ['func.py', 'htex_exp1w', 'fib', '15', '-d', 'benchmarks/lq'] done in 46.49086308479309 time
test: ['func.py', 'htex_exp1w', 'fib', '15', '-d', 'benchmarks/lq'] done in 46.591508865356445 time
test: ['func.py', 'htex_exp1w', 'fib', '15', '-d', 'benchmarks/lq'] done in 46.845008850097656 time
test: ['func.py', 'htex_exp1w', 'fib', '15', '-d', 'benchmarks/lq'] done in 47.043546199798584 time
test: ['func.py', 'htex_exp1w', 'fib', '15', '-d', 'benchmarks/lq'] done in 47.19715881347656 time
test: ['func.py', 'htex_exp1w', 'fib', '15', '-d', 'benchmarks/lq'] done in 46.583909034729004 time
test: ['func.py', 'htex_exp1w', 'fib', '15', '-d', 'benchmarks/lq'] done in 46.44352841377258 time
test: ['func.py', 'htex_exp1w', 'fib', '15', '-d', 'benchmarks/lq'] done in 46.570374727249146 time
test: ['func.py', 'htex_exp1w', 'fib', '15', '-d', 'benchmarks/lq'] done in 47.198386907577515 time
test: ['func.py', 'htex_exp1w', 'fib', '15', '-d', 'benchmarks/lq'] done in 46.77156090736389 time
test: ['func.py', 'htex_exp1w', 'fib', '15', '-d', 'benchmarks/lq'] done in 46.99423408508301 time
test: ['func.py', 'htex_exp1w', 'fib', '15', '-d', 'benchmarks/lq'] done in 46.66279149055481 time
test: ['func.py', 'htex_exp1w', 'fib', '15', '-d', 'benchmarks/lq'] done in 47.21164512634277 time
