test: ['func.py', 'htex_exp1w', 'fib', '20', '-d', 'benchmarks/lq'] done in 466.6644678115845 time
test: ['func.py', 'htex_exp1w', 'fib', '20', '-d', 'benchmarks/lq'] done in 464.14649724960327 time
test: ['func.py', 'htex_exp1w', 'fib', '20', '-d', 'benchmarks/lq'] done in 464.52558755874634 time
test: ['func.py', 'htex_exp1w', 'fib', '20', '-d', 'benchmarks/lq'] done in 465.39536714553833 time
test: ['func.py', 'htex_exp1w', 'fib', '20', '-d', 'benchmarks/lq'] done in 463.9408769607544 time
test: ['func.py', 'htex_exp1w', 'fib', '20', '-d', 'benchmarks/lq'] done in 467.0532248020172 time
test: ['func.py', 'htex_exp1w', 'fib', '20', '-d', 'benchmarks/lq'] done in 464.437007188797 time
test: ['func.py', 'htex_exp1w', 'fib', '20', '-d', 'benchmarks/lq'] done in 463.6328275203705 time
test: ['func.py', 'htex_exp1w', 'fib', '20', '-d', 'benchmarks/lq'] done in 463.55214762687683 time
test: ['func.py', 'htex_exp1w', 'fib', '20', '-d', 'benchmarks/lq'] done in 463.64375829696655 time
test: ['func.py', 'htex_exp1w', 'fib', '20', '-d', 'benchmarks/lq'] done in 469.91574454307556 time
test: ['func.py', 'htex_exp1w', 'fib', '20', '-d', 'benchmarks/lq'] done in 464.0058262348175 time
test: ['func.py', 'htex_exp1w', 'fib', '20', '-d', 'benchmarks/lq'] done in 468.2084231376648 time
test: ['func.py', 'htex_exp1w', 'fib', '20', '-d', 'benchmarks/lq'] done in 469.92365646362305 time
test: ['func.py', 'htex_exp1w', 'fib', '20', '-d', 'benchmarks/lq'] done in 469.31129574775696 time
test: ['func.py', 'htex_exp1w', 'fib', '20', '-d', 'benchmarks/lq'] done in 463.7128977775574 time
test: ['func.py', 'htex_exp1w', 'fib', '20', '-d', 'benchmarks/lq'] done in 467.2975335121155 time
test: ['func.py', 'htex_exp1w', 'fib', '20', '-d', 'benchmarks/lq'] done in 467.8649048805237 time
test: ['func.py', 'htex_exp1w', 'fib', '20', '-d', 'benchmarks/lq'] done in 469.54885959625244 time
test: ['func.py', 'htex_exp1w', 'fib', '20', '-d', 'benchmarks/lq'] done in 467.0231297016144 time
test: ['func.py', 'htex_exp1w', 'fib', '20', '-d', 'benchmarks/lq'] done in 472.8882474899292 time
test: ['func.py', 'htex_exp1w', 'fib', '20', '-d', 'benchmarks/lq'] done in 464.9108097553253 time
test: ['func.py', 'htex_exp1w', 'fib', '20', '-d', 'benchmarks/lq'] done in 463.8504672050476 time
test: ['func.py', 'htex_exp1w', 'fib', '20', '-d', 'benchmarks/lq'] done in 463.8067080974579 time
test: ['func.py', 'htex_exp1w', 'fib', '20', '-d', 'benchmarks/lq'] done in 468.65658497810364 time
test: ['func.py', 'htex_exp1w', 'fib', '20', '-d', 'benchmarks/lq'] done in 463.21974658966064 time
test: ['func.py', 'htex_exp1w', 'fib', '20', '-d', 'benchmarks/lq'] done in 463.0915586948395 time
test: ['func.py', 'htex_exp1w', 'fib', '20', '-d', 'benchmarks/lq'] done in 463.40218806266785 time
test: ['func.py', 'htex_exp1w', 'fib', '20', '-d', 'benchmarks/lq'] done in 466.6726324558258 time
test: ['func.py', 'htex_exp1w', 'fib', '20', '-d', 'benchmarks/lq'] done in 463.503719329834 time
