test: ['func.py', 'htex_exp1w', 'fib', '10', '-d', 'benchmarks/lq'] done in 3.9369888305664062 time
test: ['func.py', 'htex_exp1w', 'fib', '10', '-d', 'benchmarks/lq'] done in 3.9363811016082764 time
test: ['func.py', 'htex_exp1w', 'fib', '10', '-d', 'benchmarks/lq'] done in 3.952594518661499 time
test: ['func.py', 'htex_exp1w', 'fib', '10', '-d', 'benchmarks/lq'] done in 3.9480602741241455 time
test: ['func.py', 'htex_exp1w', 'fib', '10', '-d', 'benchmarks/lq'] done in 3.9736785888671875 time
test: ['func.py', 'htex_exp1w', 'fib', '10', '-d', 'benchmarks/lq'] done in 3.9625914096832275 time
test: ['func.py', 'htex_exp1w', 'fib', '10', '-d', 'benchmarks/lq'] done in 3.9561378955841064 time
test: ['func.py', 'htex_exp1w', 'fib', '10', '-d', 'benchmarks/lq'] done in 3.9554367065429688 time
test: ['func.py', 'htex_exp1w', 'fib', '10', '-d', 'benchmarks/lq'] done in 3.9571311473846436 time
test: ['func.py', 'htex_exp1w', 'fib', '10', '-d', 'benchmarks/lq'] done in 3.9381396770477295 time
test: ['func.py', 'htex_exp1w', 'fib', '10', '-d', 'benchmarks/lq'] done in 3.9641194343566895 time
test: ['func.py', 'htex_exp1w', 'fib', '10', '-d', 'benchmarks/lq'] done in 3.9467005729675293 time
test: ['func.py', 'htex_exp1w', 'fib', '10', '-d', 'benchmarks/lq'] done in 3.94793701171875 time
test: ['func.py', 'htex_exp1w', 'fib', '10', '-d', 'benchmarks/lq'] done in 3.9533703327178955 time
test: ['func.py', 'htex_exp1w', 'fib', '10', '-d', 'benchmarks/lq'] done in 3.960247039794922 time
test: ['func.py', 'htex_exp1w', 'fib', '10', '-d', 'benchmarks/lq'] done in 3.955139636993408 time
test: ['func.py', 'htex_exp1w', 'fib', '10', '-d', 'benchmarks/lq'] done in 3.943336248397827 time
test: ['func.py', 'htex_exp1w', 'fib', '10', '-d', 'benchmarks/lq'] done in 3.977046012878418 time
test: ['func.py', 'htex_exp1w', 'fib', '10', '-d', 'benchmarks/lq'] done in 3.9560627937316895 time
test: ['func.py', 'htex_exp1w', 'fib', '10', '-d', 'benchmarks/lq'] done in 3.982297658920288 time
test: ['func.py', 'htex_exp1w', 'fib', '10', '-d', 'benchmarks/lq'] done in 3.9592370986938477 time
test: ['func.py', 'htex_exp1w', 'fib', '10', '-d', 'benchmarks/lq'] done in 3.966768980026245 time
test: ['func.py', 'htex_exp1w', 'fib', '10', '-d', 'benchmarks/lq'] done in 3.938910484313965 time
test: ['func.py', 'htex_exp1w', 'fib', '10', '-d', 'benchmarks/lq'] done in 3.9616713523864746 time
test: ['func.py', 'htex_exp1w', 'fib', '10', '-d', 'benchmarks/lq'] done in 3.962442398071289 time
test: ['func.py', 'htex_exp1w', 'fib', '10', '-d', 'benchmarks/lq'] done in 3.9698216915130615 time
test: ['func.py', 'htex_exp1w', 'fib', '10', '-d', 'benchmarks/lq'] done in 3.9868922233581543 time
test: ['func.py', 'htex_exp1w', 'fib', '10', '-d', 'benchmarks/lq'] done in 3.9731197357177734 time
test: ['func.py', 'htex_exp1w', 'fib', '10', '-d', 'benchmarks/lq'] done in 3.9505503177642822 time
test: ['func.py', 'htex_exp1w', 'fib', '10', '-d', 'benchmarks/lq'] done in 3.9540750980377197 time
test: ['func.py', 'htex_exp1w', 'fib', '10', '-d', 'benchmarks/lq'] done in 3.9670960903167725 time
test: ['func.py', 'htex_exp1w', 'fib', '10', '-d', 'benchmarks/lq'] done in 3.948925256729126 time
test: ['func.py', 'htex_exp1w', 'fib', '10', '-d', 'benchmarks/lq'] done in 3.94888973236084 time
test: ['func.py', 'htex_exp1w', 'fib', '10', '-d', 'benchmarks/lq'] done in 3.941498279571533 time
test: ['func.py', 'htex_exp1w', 'fib', '10', '-d', 'benchmarks/lq'] done in 3.9846339225769043 time
test: ['func.py', 'htex_exp1w', 'fib', '10', '-d', 'benchmarks/lq'] done in 3.9760849475860596 time
test: ['func.py', 'htex_exp1w', 'fib', '10', '-d', 'benchmarks/lq'] done in 3.947449207305908 time
test: ['func.py', 'htex_exp1w', 'fib', '10', '-d', 'benchmarks/lq'] done in 3.9603934288024902 time
test: ['func.py', 'htex_exp1w', 'fib', '10', '-d', 'benchmarks/lq'] done in 3.964099407196045 time
test: ['func.py', 'htex_exp1w', 'fib', '10', '-d', 'benchmarks/lq'] done in 3.963468313217163 time
test: ['func.py', 'htex_exp1w', 'fib', '10', '-d', 'benchmarks/lq'] done in 3.944162607192993 time
test: ['func.py', 'htex_exp1w', 'fib', '10', '-d', 'benchmarks/lq'] done in 3.965303421020508 time
test: ['func.py', 'htex_exp1w', 'fib', '10', '-d', 'benchmarks/lq'] done in 3.973999500274658 time
test: ['func.py', 'htex_exp1w', 'fib', '10', '-d', 'benchmarks/lq'] done in 3.97719669342041 time
test: ['func.py', 'htex_exp1w', 'fib', '10', '-d', 'benchmarks/lq'] done in 3.949561357498169 time
test: ['func.py', 'htex_exp1w', 'fib', '10', '-d', 'benchmarks/lq'] done in 3.9748177528381348 time
test: ['func.py', 'htex_exp1w', 'fib', '10', '-d', 'benchmarks/lq'] done in 3.9667317867279053 time
test: ['func.py', 'htex_exp1w', 'fib', '10', '-d', 'benchmarks/lq'] done in 3.9713501930236816 time
test: ['func.py', 'htex_exp1w', 'fib', '10', '-d', 'benchmarks/lq'] done in 3.9666097164154053 time
test: ['func.py', 'htex_exp1w', 'fib', '10', '-d', 'benchmarks/lq'] done in 3.9604203701019287 time
test: ['func.py', 'htex_exp1w', 'fib', '10', '-d', 'benchmarks/lq'] done in 3.970918655395508 time
test: ['func.py', 'htex_exp1w', 'fib', '10', '-d', 'benchmarks/lq'] done in 3.9548466205596924 time
