test: ['func.py', 'htex_exp1w', 'fib', '15', '-d', 'benchmarks/lq'] done in 41.87939953804016 time
test: ['func.py', 'htex_exp1w', 'fib', '15', '-d', 'benchmarks/lq'] done in 41.92421841621399 time
test: ['func.py', 'htex_exp1w', 'fib', '15', '-d', 'benchmarks/lq'] done in 42.0945143699646 time
test: ['func.py', 'htex_exp1w', 'fib', '15', '-d', 'benchmarks/lq'] done in 42.012123346328735 time
test: ['func.py', 'htex_exp1w', 'fib', '15', '-d', 'benchmarks/lq'] done in 41.975340127944946 time
test: ['func.py', 'htex_exp1w', 'fib', '15', '-d', 'benchmarks/lq'] done in 41.895458459854126 time
test: ['func.py', 'htex_exp1w', 'fib', '15', '-d', 'benchmarks/lq'] done in 41.94525980949402 time
test: ['func.py', 'htex_exp1w', 'fib', '15', '-d', 'benchmarks/lq'] done in 41.95516109466553 time
test: ['func.py', 'htex_exp1w', 'fib', '15', '-d', 'benchmarks/lq'] done in 41.91951012611389 time
test: ['func.py', 'htex_exp1w', 'fib', '15', '-d', 'benchmarks/lq'] done in 42.008443117141724 time
test: ['func.py', 'htex_exp1w', 'fib', '15', '-d', 'benchmarks/lq'] done in 41.944441080093384 time
test: ['func.py', 'htex_exp1w', 'fib', '15', '-d', 'benchmarks/lq'] done in 41.99778938293457 time
test: ['func.py', 'htex_exp1w', 'fib', '15', '-d', 'benchmarks/lq'] done in 42.00241804122925 time
test: ['func.py', 'htex_exp1w', 'fib', '15', '-d', 'benchmarks/lq'] done in 41.95748686790466 time
test: ['func.py', 'htex_exp1w', 'fib', '15', '-d', 'benchmarks/lq'] done in 42.207136392593384 time
test: ['func.py', 'htex_exp1w', 'fib', '15', '-d', 'benchmarks/lq'] done in 41.93108558654785 time
test: ['func.py', 'htex_exp1w', 'fib', '15', '-d', 'benchmarks/lq'] done in 42.02404975891113 time
test: ['func.py', 'htex_exp1w', 'fib', '15', '-d', 'benchmarks/lq'] done in 42.06917119026184 time
test: ['func.py', 'htex_exp1w', 'fib', '15', '-d', 'benchmarks/lq'] done in 42.01876640319824 time
test: ['func.py', 'htex_exp1w', 'fib', '15', '-d', 'benchmarks/lq'] done in 42.065749168395996 time
test: ['func.py', 'htex_exp1w', 'fib', '15', '-d', 'benchmarks/lq'] done in 42.176369428634644 time
