test: ['func.py', 'htex_exp1w', 'fib', '10', '-d', 'benchmarks/lq'] done in 4.489933013916016 time
test: ['func.py', 'htex_exp1w', 'fib', '10', '-d', 'benchmarks/lq'] done in 4.505051851272583 time
test: ['func.py', 'htex_exp1w', 'fib', '10', '-d', 'benchmarks/lq'] done in 4.515433311462402 time
test: ['func.py', 'htex_exp1w', 'fib', '10', '-d', 'benchmarks/lq'] done in 4.49911093711853 time
test: ['func.py', 'htex_exp1w', 'fib', '10', '-d', 'benchmarks/lq'] done in 4.5075201988220215 time
test: ['func.py', 'htex_exp1w', 'fib', '10', '-d', 'benchmarks/lq'] done in 4.479178190231323 time
test: ['func.py', 'htex_exp1w', 'fib', '10', '-d', 'benchmarks/lq'] done in 4.5027124881744385 time
test: ['func.py', 'htex_exp1w', 'fib', '10', '-d', 'benchmarks/lq'] done in 4.505481719970703 time
test: ['func.py', 'htex_exp1w', 'fib', '10', '-d', 'benchmarks/lq'] done in 4.509087085723877 time
test: ['func.py', 'htex_exp1w', 'fib', '10', '-d', 'benchmarks/lq'] done in 4.508309364318848 time
test: ['func.py', 'htex_exp1w', 'fib', '10', '-d', 'benchmarks/lq'] done in 4.500227689743042 time
test: ['func.py', 'htex_exp1w', 'fib', '10', '-d', 'benchmarks/lq'] done in 4.49821138381958 time
test: ['func.py', 'htex_exp1w', 'fib', '10', '-d', 'benchmarks/lq'] done in 4.49426007270813 time
test: ['func.py', 'htex_exp1w', 'fib', '10', '-d', 'benchmarks/lq'] done in 4.502208948135376 time
test: ['func.py', 'htex_exp1w', 'fib', '10', '-d', 'benchmarks/lq'] done in 4.503537893295288 time
test: ['func.py', 'htex_exp1w', 'fib', '10', '-d', 'benchmarks/lq'] done in 4.4990150928497314 time
test: ['func.py', 'htex_exp1w', 'fib', '10', '-d', 'benchmarks/lq'] done in 4.500938415527344 time
test: ['func.py', 'htex_exp1w', 'fib', '10', '-d', 'benchmarks/lq'] done in 4.499746322631836 time
test: ['func.py', 'htex_exp1w', 'fib', '10', '-d', 'benchmarks/lq'] done in 4.497920513153076 time
test: ['func.py', 'htex_exp1w', 'fib', '10', '-d', 'benchmarks/lq'] done in 4.506739377975464 time
test: ['func.py', 'htex_exp1w', 'fib', '10', '-d', 'benchmarks/lq'] done in 4.5021727085113525 time
test: ['func.py', 'htex_exp1w', 'fib', '10', '-d', 'benchmarks/lq'] done in 4.5001585483551025 time
test: ['func.py', 'htex_exp1w', 'fib', '10', '-d', 'benchmarks/lq'] done in 4.513511657714844 time
test: ['func.py', 'htex_exp1w', 'fib', '10', '-d', 'benchmarks/lq'] done in 4.498339891433716 time
test: ['func.py', 'htex_exp1w', 'fib', '10', '-d', 'benchmarks/lq'] done in 4.500580549240112 time
test: ['func.py', 'htex_exp1w', 'fib', '10', '-d', 'benchmarks/lq'] done in 4.482884168624878 time
test: ['func.py', 'htex_exp1w', 'fib', '10', '-d', 'benchmarks/lq'] done in 4.501651287078857 time
test: ['func.py', 'htex_exp1w', 'fib', '10', '-d', 'benchmarks/lq'] done in 4.497282981872559 time
test: ['func.py', 'htex_exp1w', 'fib', '10', '-d', 'benchmarks/lq'] done in 4.50910210609436 time
test: ['func.py', 'htex_exp1w', 'fib', '10', '-d', 'benchmarks/lq'] done in 4.483731031417847 time
test: ['func.py', 'htex_exp1w', 'fib', '10', '-d', 'benchmarks/lq'] done in 4.503747224807739 time
test: ['func.py', 'htex_exp1w', 'fib', '10', '-d', 'benchmarks/lq'] done in 4.501200437545776 time
test: ['func.py', 'htex_exp1w', 'fib', '10', '-d', 'benchmarks/lq'] done in 4.483079195022583 time
test: ['func.py', 'htex_exp1w', 'fib', '10', '-d', 'benchmarks/lq'] done in 4.492297887802124 time
test: ['func.py', 'htex_exp1w', 'fib', '10', '-d', 'benchmarks/lq'] done in 4.495057106018066 time
test: ['func.py', 'htex_exp1w', 'fib', '10', '-d', 'benchmarks/lq'] done in 4.495814561843872 time
test: ['func.py', 'htex_exp1w', 'fib', '10', '-d', 'benchmarks/lq'] done in 4.508939504623413 time
test: ['func.py', 'htex_exp1w', 'fib', '10', '-d', 'benchmarks/lq'] done in 4.514132738113403 time
test: ['func.py', 'htex_exp1w', 'fib', '10', '-d', 'benchmarks/lq'] done in 4.496961832046509 time
test: ['func.py', 'htex_exp1w', 'fib', '10', '-d', 'benchmarks/lq'] done in 4.504438400268555 time
test: ['func.py', 'htex_exp1w', 'fib', '10', '-d', 'benchmarks/lq'] done in 4.497857570648193 time
test: ['func.py', 'htex_exp1w', 'fib', '10', '-d', 'benchmarks/lq'] done in 4.501430988311768 time
test: ['func.py', 'htex_exp1w', 'fib', '10', '-d', 'benchmarks/lq'] done in 4.4938435554504395 time
test: ['func.py', 'htex_exp1w', 'fib', '10', '-d', 'benchmarks/lq'] done in 4.498129367828369 time
test: ['func.py', 'htex_exp1w', 'fib', '10', '-d', 'benchmarks/lq'] done in 4.500742673873901 time
test: ['func.py', 'htex_exp1w', 'fib', '10', '-d', 'benchmarks/lq'] done in 4.500690698623657 time
test: ['func.py', 'htex_exp1w', 'fib', '10', '-d', 'benchmarks/lq'] done in 4.49625825881958 time
test: ['func.py', 'htex_exp1w', 'fib', '10', '-d', 'benchmarks/lq'] done in 4.493612289428711 time
test: ['func.py', 'htex_exp1w', 'fib', '10', '-d', 'benchmarks/lq'] done in 4.507242441177368 time
test: ['func.py', 'htex_exp1w', 'fib', '10', '-d', 'benchmarks/lq'] done in 4.50602650642395 time
test: ['func.py', 'htex_exp1w', 'fib', '10', '-d', 'benchmarks/lq'] done in 4.509484052658081 time
test: ['func.py', 'htex_exp1w', 'fib', '10', '-d', 'benchmarks/lq'] done in 4.4877307415008545 time
test: ['func.py', 'htex_exp1w', 'fib', '10', '-d', 'benchmarks/lq'] done in 4.50687575340271 time
test: ['func.py', 'htex_exp1w', 'fib', '10', '-d', 'benchmarks/lq'] done in 4.48919415473938 time
test: ['func.py', 'htex_exp1w', 'fib', '10', '-d', 'benchmarks/lq'] done in 4.494004249572754 time
test: ['func.py', 'htex_exp1w', 'fib', '10', '-d', 'benchmarks/lq'] done in 4.485698461532593 time
test: ['func.py', 'htex_exp1w', 'fib', '10', '-d', 'benchmarks/lq'] done in 4.488797187805176 time
test: ['func.py', 'htex_exp1w', 'fib', '10', '-d', 'benchmarks/lq'] done in 4.508829116821289 time
test: ['func.py', 'htex_exp1w', 'fib', '10', '-d', 'benchmarks/lq'] done in 4.480931282043457 time
test: ['func.py', 'htex_exp1w', 'fib', '10', '-d', 'benchmarks/lq'] done in 4.509403705596924 time
test: ['func.py', 'htex_exp1w', 'fib', '10', '-d', 'benchmarks/lq'] done in 4.488093376159668 time
test: ['func.py', 'htex_exp1w', 'fib', '10', '-d', 'benchmarks/lq'] done in 4.509526014328003 time
test: ['func.py', 'htex_exp1w', 'fib', '10', '-d', 'benchmarks/lq'] done in 4.486814498901367 time
test: ['func.py', 'htex_exp1w', 'fib', '10', '-d', 'benchmarks/lq'] done in 4.510091304779053 time
test: ['func.py', 'htex_exp1w', 'fib', '10', '-d', 'benchmarks/lq'] done in 4.4964752197265625 time
test: ['func.py', 'htex_exp1w', 'fib', '10', '-d', 'benchmarks/lq'] done in 4.495345115661621 time
test: ['func.py', 'htex_exp1w', 'fib', '10', '-d', 'benchmarks/lq'] done in 4.508682012557983 time
test: ['func.py', 'htex_exp1w', 'fib', '10', '-d', 'benchmarks/lq'] done in 4.492510795593262 time
test: ['func.py', 'htex_exp1w', 'fib', '10', '-d', 'benchmarks/lq'] done in 4.509638071060181 time
test: ['func.py', 'htex_exp1w', 'fib', '10', '-d', 'benchmarks/lq'] done in 4.495605707168579 time
test: ['func.py', 'htex_exp1w', 'fib', '10', '-d', 'benchmarks/lq'] done in 4.496745347976685 time
test: ['func.py', 'htex_exp1w', 'fib', '10', '-d', 'benchmarks/lq'] done in 4.495774030685425 time
test: ['func.py', 'htex_exp1w', 'fib', '10', '-d', 'benchmarks/lq'] done in 4.501354217529297 time
test: ['func.py', 'htex_exp1w', 'fib', '10', '-d', 'benchmarks/lq'] done in 4.5040552616119385 time
test: ['func.py', 'htex_exp1w', 'fib', '10', '-d', 'benchmarks/lq'] done in 4.512480020523071 time
test: ['func.py', 'htex_exp1w', 'fib', '10', '-d', 'benchmarks/lq'] done in 4.490252733230591 time
test: ['func.py', 'htex_exp1w', 'fib', '10', '-d', 'benchmarks/lq'] done in 4.513059139251709 time
test: ['func.py', 'htex_exp1w', 'fib', '10', '-d', 'benchmarks/lq'] done in 4.5119850635528564 time
test: ['func.py', 'htex_exp1w', 'fib', '10', '-d', 'benchmarks/lq'] done in 4.521045207977295 time
test: ['func.py', 'htex_exp1w', 'fib', '10', '-d', 'benchmarks/lq'] done in 4.511540412902832 time
test: ['func.py', 'htex_exp1w', 'fib', '10', '-d', 'benchmarks/lq'] done in 4.5022501945495605 time
test: ['func.py', 'htex_exp1w', 'fib', '10', '-d', 'benchmarks/lq'] done in 4.498230695724487 time
test: ['func.py', 'htex_exp1w', 'fib', '10', '-d', 'benchmarks/lq'] done in 4.505770683288574 time
test: ['func.py', 'htex_exp1w', 'fib', '10', '-d', 'benchmarks/lq'] done in 4.51686692237854 time
test: ['func.py', 'htex_exp1w', 'fib', '10', '-d', 'benchmarks/lq'] done in 4.5049426555633545 time
test: ['func.py', 'htex_exp1w', 'fib', '10', '-d', 'benchmarks/lq'] done in 4.5000388622283936 time
test: ['func.py', 'htex_exp1w', 'fib', '10', '-d', 'benchmarks/lq'] done in 4.4941771030426025 time
test: ['func.py', 'htex_exp1w', 'fib', '10', '-d', 'benchmarks/lq'] done in 4.498041152954102 time
test: ['func.py', 'htex_exp1w', 'fib', '10', '-d', 'benchmarks/lq'] done in 4.512840509414673 time
test: ['func.py', 'htex_exp1w', 'fib', '10', '-d', 'benchmarks/lq'] done in 4.507642507553101 time
test: ['func.py', 'htex_exp1w', 'fib', '10', '-d', 'benchmarks/lq'] done in 4.514506578445435 time
test: ['func.py', 'htex_exp1w', 'fib', '10', '-d', 'benchmarks/lq'] done in 4.502031564712524 time
test: ['func.py', 'htex_exp1w', 'fib', '10', '-d', 'benchmarks/lq'] done in 4.4933600425720215 time
test: ['func.py', 'htex_exp1w', 'fib', '10', '-d', 'benchmarks/lq'] done in 4.507975816726685 time
test: ['func.py', 'htex_exp1w', 'fib', '10', '-d', 'benchmarks/lq'] done in 4.502826452255249 time
test: ['func.py', 'htex_exp1w', 'fib', '10', '-d', 'benchmarks/lq'] done in 4.512922525405884 time
