test: ['func.py', 'htex_exp1w', 'fib', '5', '-d', 'benchmarks/lq'] done in 0.7134757041931152 time
test: ['func.py', 'htex_exp1w', 'fib', '5', '-d', 'benchmarks/lq'] done in 0.7186899185180664 time
test: ['func.py', 'htex_exp1w', 'fib', '5', '-d', 'benchmarks/lq'] done in 0.7175273895263672 time
test: ['func.py', 'htex_exp1w', 'fib', '5', '-d', 'benchmarks/lq'] done in 0.7154016494750977 time
test: ['func.py', 'htex_exp1w', 'fib', '5', '-d', 'benchmarks/lq'] done in 0.7173616886138916 time
test: ['func.py', 'htex_exp1w', 'fib', '5', '-d', 'benchmarks/lq'] done in 0.7150139808654785 time
test: ['func.py', 'htex_exp1w', 'fib', '5', '-d', 'benchmarks/lq'] done in 0.7158095836639404 time
test: ['func.py', 'htex_exp1w', 'fib', '5', '-d', 'benchmarks/lq'] done in 0.7137637138366699 time
test: ['func.py', 'htex_exp1w', 'fib', '5', '-d', 'benchmarks/lq'] done in 0.7143299579620361 time
test: ['func.py', 'htex_exp1w', 'fib', '5', '-d', 'benchmarks/lq'] done in 0.716132402420044 time
test: ['func.py', 'htex_exp1w', 'fib', '5', '-d', 'benchmarks/lq'] done in 0.7136564254760742 time
test: ['func.py', 'htex_exp1w', 'fib', '5', '-d', 'benchmarks/lq'] done in 0.7160248756408691 time
test: ['func.py', 'htex_exp1w', 'fib', '5', '-d', 'benchmarks/lq'] done in 0.7115278244018555 time
test: ['func.py', 'htex_exp1w', 'fib', '5', '-d', 'benchmarks/lq'] done in 0.7160580158233643 time
test: ['func.py', 'htex_exp1w', 'fib', '5', '-d', 'benchmarks/lq'] done in 0.7172167301177979 time
test: ['func.py', 'htex_exp1w', 'fib', '5', '-d', 'benchmarks/lq'] done in 0.7137510776519775 time
test: ['func.py', 'htex_exp1w', 'fib', '5', '-d', 'benchmarks/lq'] done in 0.7150628566741943 time
test: ['func.py', 'htex_exp1w', 'fib', '5', '-d', 'benchmarks/lq'] done in 0.7164254188537598 time
test: ['func.py', 'htex_exp1w', 'fib', '5', '-d', 'benchmarks/lq'] done in 0.7164919376373291 time
test: ['func.py', 'htex_exp1w', 'fib', '5', '-d', 'benchmarks/lq'] done in 0.7146041393280029 time
test: ['func.py', 'htex_exp1w', 'fib', '5', '-d', 'benchmarks/lq'] done in 0.7074596881866455 time
test: ['func.py', 'htex_exp1w', 'fib', '5', '-d', 'benchmarks/lq'] done in 0.7169544696807861 time
test: ['func.py', 'htex_exp1w', 'fib', '5', '-d', 'benchmarks/lq'] done in 0.7165961265563965 time
test: ['func.py', 'htex_exp1w', 'fib', '5', '-d', 'benchmarks/lq'] done in 0.7133119106292725 time
test: ['func.py', 'htex_exp1w', 'fib', '5', '-d', 'benchmarks/lq'] done in 0.7141571044921875 time
test: ['func.py', 'htex_exp1w', 'fib', '5', '-d', 'benchmarks/lq'] done in 0.7143049240112305 time
test: ['func.py', 'htex_exp1w', 'fib', '5', '-d', 'benchmarks/lq'] done in 0.7152669429779053 time
test: ['func.py', 'htex_exp1w', 'fib', '5', '-d', 'benchmarks/lq'] done in 0.7156503200531006 time
test: ['func.py', 'htex_exp1w', 'fib', '5', '-d', 'benchmarks/lq'] done in 0.7159171104431152 time
test: ['func.py', 'htex_exp1w', 'fib', '5', '-d', 'benchmarks/lq'] done in 0.7147290706634521 time
test: ['func.py', 'htex_exp1w', 'fib', '5', '-d', 'benchmarks/lq'] done in 0.7159240245819092 time
test: ['func.py', 'htex_exp1w', 'fib', '5', '-d', 'benchmarks/lq'] done in 0.719261884689331 time
test: ['func.py', 'htex_exp1w', 'fib', '5', '-d', 'benchmarks/lq'] done in 0.7169523239135742 time
test: ['func.py', 'htex_exp1w', 'fib', '5', '-d', 'benchmarks/lq'] done in 0.715364933013916 time
test: ['func.py', 'htex_exp1w', 'fib', '5', '-d', 'benchmarks/lq'] done in 0.7190768718719482 time
test: ['func.py', 'htex_exp1w', 'fib', '5', '-d', 'benchmarks/lq'] done in 0.7171616554260254 time
test: ['func.py', 'htex_exp1w', 'fib', '5', '-d', 'benchmarks/lq'] done in 0.7209410667419434 time
test: ['func.py', 'htex_exp1w', 'fib', '5', '-d', 'benchmarks/lq'] done in 0.7144608497619629 time
test: ['func.py', 'htex_exp1w', 'fib', '5', '-d', 'benchmarks/lq'] done in 0.717388391494751 time
test: ['func.py', 'htex_exp1w', 'fib', '5', '-d', 'benchmarks/lq'] done in 0.71647047996521 time
test: ['func.py', 'htex_exp1w', 'fib', '5', '-d', 'benchmarks/lq'] done in 0.7173974514007568 time
test: ['func.py', 'htex_exp1w', 'fib', '5', '-d', 'benchmarks/lq'] done in 0.7163019180297852 time
test: ['func.py', 'htex_exp1w', 'fib', '5', '-d', 'benchmarks/lq'] done in 0.7185821533203125 time
test: ['func.py', 'htex_exp1w', 'fib', '5', '-d', 'benchmarks/lq'] done in 0.7162473201751709 time
test: ['func.py', 'htex_exp1w', 'fib', '5', '-d', 'benchmarks/lq'] done in 0.7184655666351318 time
test: ['func.py', 'htex_exp1w', 'fib', '5', '-d', 'benchmarks/lq'] done in 0.7134604454040527 time
test: ['func.py', 'htex_exp1w', 'fib', '5', '-d', 'benchmarks/lq'] done in 0.7208356857299805 time
test: ['func.py', 'htex_exp1w', 'fib', '5', '-d', 'benchmarks/lq'] done in 0.7152416706085205 time
test: ['func.py', 'htex_exp1w', 'fib', '5', '-d', 'benchmarks/lq'] done in 0.7166733741760254 time
test: ['func.py', 'htex_exp1w', 'fib', '5', '-d', 'benchmarks/lq'] done in 0.7162215709686279 time
test: ['func.py', 'htex_exp1w', 'fib', '5', '-d', 'benchmarks/lq'] done in 0.7153761386871338 time
test: ['func.py', 'htex_exp1w', 'fib', '5', '-d', 'benchmarks/lq'] done in 0.7204697132110596 time
test: ['func.py', 'htex_exp1w', 'fib', '5', '-d', 'benchmarks/lq'] done in 0.715766191482544 time
test: ['func.py', 'htex_exp1w', 'fib', '5', '-d', 'benchmarks/lq'] done in 0.7161393165588379 time
test: ['func.py', 'htex_exp1w', 'fib', '5', '-d', 'benchmarks/lq'] done in 0.7155115604400635 time
test: ['func.py', 'htex_exp1w', 'fib', '5', '-d', 'benchmarks/lq'] done in 0.7151353359222412 time
test: ['func.py', 'htex_exp1w', 'fib', '5', '-d', 'benchmarks/lq'] done in 0.7152676582336426 time
test: ['func.py', 'htex_exp1w', 'fib', '5', '-d', 'benchmarks/lq'] done in 0.7153444290161133 time
test: ['func.py', 'htex_exp1w', 'fib', '5', '-d', 'benchmarks/lq'] done in 0.713994026184082 time
test: ['func.py', 'htex_exp1w', 'fib', '5', '-d', 'benchmarks/lq'] done in 0.7157139778137207 time
test: ['func.py', 'htex_exp1w', 'fib', '5', '-d', 'benchmarks/lq'] done in 0.7185299396514893 time
test: ['func.py', 'htex_exp1w', 'fib', '5', '-d', 'benchmarks/lq'] done in 0.7155444622039795 time
test: ['func.py', 'htex_exp1w', 'fib', '5', '-d', 'benchmarks/lq'] done in 0.7153434753417969 time
test: ['func.py', 'htex_exp1w', 'fib', '5', '-d', 'benchmarks/lq'] done in 0.7158315181732178 time
test: ['func.py', 'htex_exp1w', 'fib', '5', '-d', 'benchmarks/lq'] done in 0.7178072929382324 time
test: ['func.py', 'htex_exp1w', 'fib', '5', '-d', 'benchmarks/lq'] done in 0.7145664691925049 time
test: ['func.py', 'htex_exp1w', 'fib', '5', '-d', 'benchmarks/lq'] done in 0.7163667678833008 time
test: ['func.py', 'htex_exp1w', 'fib', '5', '-d', 'benchmarks/lq'] done in 0.7152128219604492 time
test: ['func.py', 'htex_exp1w', 'fib', '5', '-d', 'benchmarks/lq'] done in 0.7167377471923828 time
test: ['func.py', 'htex_exp1w', 'fib', '5', '-d', 'benchmarks/lq'] done in 0.7141351699829102 time
test: ['func.py', 'htex_exp1w', 'fib', '5', '-d', 'benchmarks/lq'] done in 0.7169523239135742 time
